,track_name,artist_name,tweets
33,Safe With Me (with Audrey Mika),Gryffin,"Gryffin &amp; Audrey Mika - Safe With Me 19. 새벽형인데 유전자검사에서는 아침형으로나오드라
20. 원래 여름이엇는데 가을됨
21. 노래추천: Gryffin&amp;Audrey Mika - Safe with me
22. 음료: 커피...인데 요즘은 약먹어서 못먹음
23. 집..일평생누워서지낼수도잇음
24. 트위터
25. 화이트
26. 딱히없는디,,,너무매운거?
27. 낯엄청가림 Gryffin &amp; Audrey Mika - Safe With Me"
34,Save Your Tears (with Ariana Grande) (Remix),The Weeknd,
35,Levitating (feat. DaBaby),Dua Lipa,"Dua Lipa - Levitating feat. DaBaby (Don Diablo Remix) [Official Audio] https://t.co/Az25AFeohQ via @YouTube Now playing Levitating by Dua Lipa feat. DaBaby! https://t.co/zLqY3O603R  Listen Mon-Fri to; #TheGudTymezShow - #TheHonestTruth - #TheJaytheGreatShow- #Sapphiresoup Show - (Saturday's) The Marcus Devine Show https://t.co/E3ggrsvbeD https://wgtsd... #Nowplaying Levitating (feat. DaBaby) - Dua Lipa  - Stream here-&gt; https://t.co/YiXxSepm8x - Non Stop Hits 24/7 #Rideshare #Radio #Hits #Uber #RideshareRadio #StandingWithUkraine #KKRvMI #JO1ANNX #InternationalAsexualityDay #Talk2Me Dua Lipa feat. DaBaby - Levitating https://t.co/f9fvZJBTTj [OnlyHitUS] #NowPlaying : Levitating (feat. DaBaby)
 by Dua Lipa, DaBaby Listen on the website: https://t.co/Q2ZfUngJan 昔の洋楽が好きな人に刺さるよな

【和訳】Dua Lipa「Levitating feat. DaBaby」【公式】 https://t.co/jjWj1R1QQ0 @YouTubeより Jeśli ktoś by mnie zapytał, która piosenka najbardziej kojarzy mi się z NBA - odpowiedziałbym:

Dua Lipa - Levitating (feat. DaBaby) https://t.co/SO0kDadSyB Now playing Levitating by Dua Lipa feat. DaBaby! https://t.co/zLqY3O603R  Listen Mon-Fri to; #TheGudTymezShow - #TheHonestTruth - #TheJaytheGreatShow- #Sapphiresoup Show - (Saturday's) The Marcus Devine Show https://t.co/E3ggrsvbeD https://wgtsd... ♫Levitating (feat. DaBaby) by Dua Lipa, from #SoundHound https://t.co/AbpYT3GAY5 @nageppuri FF外から失礼します🙇‍♀️

 Dua Lipa Feat. DaBabyのLevitatingです！"
36,Sunroof,Nicky Youre,"@illoquents sunroof by nicky youre @nkmtgil sunroof by nicky youre Nicky Youre, dazyのSunroofを
夕飯作りながら聴いていた。 Nicky Youre, dazy / Sunroof
https://t.co/P6YeQ73WDb Know abt me
Name starts with ""k""
Fav color: cyan,dandelion,tan
Fav subject: chemist
Fav animal: caracal,sabertooth
Fav song : toxic by boy with uke and  sunroof by nicky youre
Fav series: money heist and anne with an e
Country:🇵🇭
Dream job: vet
Phobias : electric,alone,dolls
💗💗 Sunroof - Nicky Youre &amp; Dazy https://t.co/1wM2Z786A2 @banjarbase Sunroof - nicky youre, dazy
Mood booster bgt Gerade läuft: Sunroof von Nicky Youre &amp; Dazy abspielen unter https://t.co/bk3MpF8ZjY #webradio #oberoesterreich #malatunes https://t.co/i9gpVCbbg9 @skipthewolf I'd recommend

Sunroof - Nicky Youre &amp; Daisy
Bad Habits - Ed Sheeran
Playing To Lose - Lemaitre
Dancing In My Room - 347aidan
Long Drives - Boywithuke
Hang Up - WRLD
Ghost - Confetti
Castle - Halsey Nicky Youre &amp; Dazy – Sunroof İspanyolca Şarkı Sözleri Türkçe Anlamları https://t.co/M1S3yaFmzk"
37,Better Days (NEIKED x Mae Muller x Polo G),NEIKED,"#Now Playing on WFER https://t.co/7245ENZEUf NEIKED x Mae Muller x Polo G - Better Days (Country Club Martini Crew Extended Remix - Explicit) NEIKED x Mae Muller x Polo G #Listen now on WFER https://t.co/7245ENZEUf https://t.co/GwemVJOSK8 #Now Playing on WFER https://t.co/7245ENZEUf NEIKED x Mae Muller x Polo G - Better Days (Country Club Martini Crew Extended Remix - Explicit) NEIKED x Mae Muller x Polo G #Listen now on WFER https://t.co/7245ENZEUf https://t.co/IFAFVLVYtT #nowplaying NEIKED X MAE MULLER X POLO G - Better Days #NowPlaying NEIKED x Mae Muller x Polo G - Better Days (Country Club Martini Crew Extended Remix - Explicit) NEIKED x Mae Muller x Polo G #PlayingNow on WFER https://t.co/7245ENZEUf “Where The Beat Begins!” https://t.co/JhENWmzUfz Actuellement sur votre Radio #MASTERFM Better Days_ - Mae Muller X Neiked X  Polo G #Toulouse #Occitanie #PlayingNow on WFER Fleet EDM Radio NEIKED x Mae Muller x Polo G - Better Days (Country Club Martini Crew Extended Remix - Explicit) NEIKED x Mae Muller x Polo G #StreamingLive on WFER https://t.co/7245ENZEUf https://t.co/7usLQ2iri7 #Now Playing on WFER https://t.co/7245ENZEUf NEIKED x Mae Muller x Polo G - Better Days (Country Club Martini Crew Extended Remix - Explicit) NEIKED x Mae Muller x Polo G #Listen now on WFER https://t.co/7245ENZEUf https://t.co/Wa1X957Yd1 #PlayingNow on WFER Fleet EDM Radio NEIKED x Mae Muller x Polo G - Better Days (Country Club Martini Crew Extended Remix - Explicit) NEIKED x Mae Muller x Polo G #StreamingLive on WFER https://t.co/7245ENZEUf https://t.co/llmijbhpmQ NEIKED,Mae Muller,Polo G - Better Days (NEIKED x Mae Mull #Nowplaying Better Days (NEIKED x Mae Muller x Polo G) - NEIKED  - Stream here-&gt; https://t.co/YiXxSepm8x - Non Stop Hits 24/7 #Rideshare #Radio #Hits #Uber #RideshareRadio #StandingWithUkraine #KKRvMI #JO1ANNX #InternationalAsexualityDay #Talk2Me"
38,Conversations in the Dark - John Legend vs. David Guetta,John Legend,"John Legend - Conversations in the Dark - John Legend vs. David Guetta  https://t.co/utUxCLyLar Monday Mosh Radio; Now Playing John Legend, David Guetta - Conversations in the Dark (John Legend vs. David Guetta) #HamSphereMMR https://t.co/ozjfsLXMx2"
39,Blueberry Eyes (feat. SUGA of BTS),MAX,"RT @MSUGADATA: 📈 [SPOTIFY UPDATE]

'Blueberry Eyes' by MAX (feat. SUGA of BTS) has surpassed 176 million streams on Spotify.

🔗https://t.co… RT @MSUGADATA: 📈 [SPOTIFY UPDATE]

'Blueberry Eyes' by MAX (feat. SUGA of BTS) has surpassed 176 million streams on Spotify.

🔗https://t.co… WHATS UP GUYS???? ITS ME- MAX!!! 💛💜💛💜💛💜💛 SUPPORT MY NEW SONG CALLED BLUEBERRY EYES FEAT SUGA OF BTS OUT NOW!!!!! 💛💜💛💜💛💜💛💜 RT @SugaWWST: ‘Blueberry Eyes’ by MAX (feat. SUGA of BTS) has surpassed 176 million streams on Spotify.

(https://t.co/Y4Bgps1pLM) 

シュガ 방탄… RT @SugaWWST: ‘Blueberry Eyes’ by MAX (feat. SUGA of BTS) has surpassed 176 million streams on Spotify.

(https://t.co/Y4Bgps1pLM) 

シュガ 방탄… RT @SugaWWST: ‘Blueberry Eyes’ by MAX (feat. SUGA of BTS) has surpassed 176 million streams on Spotify.

(https://t.co/Y4Bgps1pLM) 

シュガ 방탄… RT @SugaWWST: ‘Blueberry Eyes’ by MAX (feat. SUGA of BTS) has surpassed 176 million streams on Spotify.

(https://t.co/Y4Bgps1pLM) 

シュガ 방탄… ‘Blueberry Eyes’ by MAX (feat. SUGA of BTS) has surpassed 176 million streams on Spotify.

(https://t.co/Y4Bgps1pLM) 

シュガ 방탄소년단 슈가 #SUGA #BTSSUGA #슈가 #MAX (@BTS_twt) https://t.co/vn8r6Cer9R RT @allfoormyg: ‘Blueberry Eyes’ (feat SUGA of BTS) de Max ha superado los 176 MILLONES de streams en Spotify. 

#방탄소년단슈가 #SUGA #슈가 #BTSSUG… RT @allfoormyg: ‘Blueberry Eyes’ (feat SUGA of BTS) de Max ha superado los 176 MILLONES de streams en Spotify. 

#방탄소년단슈가 #SUGA #슈가 #BTSSUG…"
40,Someone To You,BANNERS,"@ktvsingularitae someone to you by banners @joy4_le @0000studios @moonchildshopco While the banners are cute (at times), if you’re blocking someone else’s view, it’s no fair. They paid to see the boys too. I might lose my cool should that happen when I see the boys, I’m short but I’m a paying concert goer too, not to mention “I’m an army too”☺️ @sonicamedia I'm not sure if you mean twitch or tik tok content but playing through story quests, doing wishes on new banners and doing challenges can be good content, also playing with group can be really fun :D

If you need any help / someone to play with I'm always down:) @realtadjude You've been saying that same line for over 29 years of trying to get elected in any office under the Democrat, Republican and Independent and Green Party banners. Inciting Trump won't help you. A chameleon politician just wanting someone to vote them in. ""Enemy"" imagine dragons
""someone to you"" banners https://t.co/kfp7RwqlF9 https://t.co/Wcp2CUFWhu Now: Someone To You - BANNERS on https://t.co/euPh0ZZYk8 https://t.co/6LZEEUV4Oe The Music Never Stops - Now Playing - Someone To You (Clean) - BANNERS LISTEN LIVE NOW: https://t.co/A5DLpYk3TY https://t.co/i3OkoIkufO someone to you // banners Is he looking at something or someone? Or the Marry me Yoongi banners? Did he see the Do you want to see my cat banner? I want his reaction on that. 😁 https://t.co/gj0CwSKXtd todos tenemos nuestros métodos para conocer cosas nuevas.
para la música a mi me pasa que primero la escucho como parte del video de un fandom o en su version Nightcore. de momento las 2 nuevas canciones que me gustan son:
Stand Out Fit In- one ok rock
 Someone To You- BANNERS"
41,Put Your Records On,Ritt Momney,"#NowPlaying Ritt Momney || Put Your Records On 🎶🎶 Ritt Momney - Put Your Records On Ritt Momney - Put Your Records On Ritt Momney - Put Your Records On https://t.co/f9fvZJBTTj #NowPlaying
Ritt Momney - Put Your Records On
ANDROID https://t.co/q1BZxY4ocm
IOS  https://t.co/isHS2fFrsp
Peça sua música aqui https://t.co/NrJyF726Oh
https://t.co/hKZF1uCKmi RT @StudioRadioLC: #SuenaAhora Ritt Momney - Put Your Records On #Apoya #Comparte #TalentoIndependiente #RT  https://t.co/G07Rr604jr #SuenaAhora Ritt Momney - Put Your Records On #Apoya #Comparte #TalentoIndependiente #RT  https://t.co/G07Rr604jr Ritt Momney - Put Your Records On #NowPlaying
Ritt Momney - Put Your Records On
ANDROID https://t.co/q1BZxY4ocm
IOS  https://t.co/isHS2fFrsp
Peça sua música aqui https://t.co/NrJyF726Oh
https://t.co/hKZF1uCKmi #NowPlaying Put Your Records On by Ritt Momney #listen at https://t.co/RGN0Gpaxia"
42,Cloudy Day,Tones And I,
43,You Were Loved (with OneRepublic),Gryffin,"Gryffin - You Were Loved (with OneRepublic)  https://t.co/utUxCLyLar OneRepublic - You Were Loved (with Gryffin)  #nowplaying #onair #listenlive #streamingnow #goodmusic #80s #newhits #eradiosa #gardenroute #knysna #George #Mosselbay #capetown #Gqeberha #southafrica #westerncape - Tune in: https://t.co/yaayRJxmoU Gryffin - You Were Loved (with OneRepublic)  https://t.co/utUxCLyLar RT @RealTNTRadio: #Nowplaying Gryffin - You Were Loved (with OneRepublic) #top40 #realradio #notalkjustmusic #music4life #music #hitmusic #… #Nowplaying Gryffin - You Were Loved (with OneRepublic) #top40 #realradio #notalkjustmusic #music4life #music #hitmusic #radio https://t.co/QVUVbKIDuF Gryffin - You Were Loved (with OneRepublic)  https://t.co/utUxCLyLar Listen #free in #Spotify now: ""You Were Loved (with OneRepublic)"" by Gryffin, OneRepublic https://t.co/TkGtUjetY8 https://t.co/i4QbSP2t0X ""You Were Loved (with OneRepublic)"" by Gryffin, OneRepublic https://t.co/5a3yMJdUB5 #NowPlaying Gryffin - You Were Loved (with OneRepublic)  https://t.co/utUxCLyLar OneRepublic - You Were Loved (with Gryffin)  #nowplaying #onair #listenlive #streamingnow #goodmusic #80s #newhits #eradiosa #gardenroute #knysna #George #Mosselbay #capetown #Gqeberha #southafrica #westerncape - Tune in: https://t.co/yaayRJxmoU"
44,Lil Bit,Nelly,"RT @TodaysCountryMa: TOMORROW NIGHT - 2022 @CMT AWARDS NOMINEES - Collaborative Video of the Year: @Nelly_Mo  ft. @FLAGALine  - ""Lil Bit"" -… @McNasty Still going down by Morgan Wallen or Lil bit by Florida Georgia Line and Nelly RT @TodaysCountryMa: TOMORROW NIGHT - 2022 @CMT AWARDS NOMINEES - Collaborative Video of the Year: @Nelly_Mo  ft. @FLAGALine  - ""Lil Bit"" -… TOMORROW NIGHT - 2022 @CMT AWARDS NOMINEES - Collaborative Video of the Year: @Nelly_Mo  ft. @FLAGALine  - ""Lil Bit"" - https://t.co/RQ2yQbBwwP Now Playing: ""Lil Bit"" By ""Nelly &amp; Florida Georgia Line"" is on Q106.8 Country | WQKT-DB https://t.co/Lb3PM6yUgV #NowPlayingOnQCountry Nelly, Florida Georgia Line - Lil Bit-  #kbcountryradio #indiemusic #internetradio  #indie  https://t.co/zXMnxXHP4M RT @FLAGALine: Your boys are nominated for @CMT's “Collab Video of the Year” for ‘Lil Bit’ w/ @Nelly_Mo at the 2022 #CMTawards!! Vote every… Nelly, Florida Georgia Line - Lil Bit (Official Video) https://t.co/YWIkyiUoxl via @YouTube @Snow_Blacck Lil Bit   Nelly &amp; Florida Georgia Line Nelly, Florida Georgia Line - Lil Bit-  #kbcountryradio #indiemusic #internetradio  #indie  https://t.co/zXMnxXHP4M"
45,Little Bit of Love,Tom Grennan,"#NowPlaying 
Tom Grennan, Emily Roberts - Little Bit of Love
Listen Here: https://t.co/0ljlTYbGLX
 #GTVRadio #submit #music Nu op ZTACK: Little Bit of Love van Tom Grennan! 🎶
📻Tune in op https://t.co/XYjsqE6MaU! Listen hits music rock pop dance now playing: Little Bit of Love - TOM GRENNAN on https://t.co/euPh100w9G https://t.co/h7BaUOPy42 A Little Bit of Love - @Tom_Grennan (2021)

I've been holding onto pieces, swimming in the deep end
Tryna find my way back to you 
'Cause I'm needing a little bit of love https://t.co/YmwkVhpwcc 15:32: ""Little Bit of Love"" von Tom Grennan RT @tomgfanpage: @dqnix96 @Tom_Grennan I forgot to say something about the other two! Little bit of love that's pure some of that video mak… @dqnix96 @Tom_Grennan I forgot to say something about the other two! Little bit of love that's pure some of that video makes me tear 😂🥲, show true love 💕, found what I've been looking for is the first song I heard of tom only needs 10 seconds to say I'm in love with his voice!💚 @tomgfanpage @Tom_Grennan For me it was By Your Side, I saw the video and thought ""who is this handsome man?"" Then I heard Little Bit of Love and Found What I've been looking for and it sealed the deal ❤️ rock pop dance classic hits now: Little Bit of Love - TOM GRENNAN on https://t.co/euPh0ZZYk8 https://t.co/Df2K0u5QMo RT @tomgfanpage: This is where my minds at! I can't decide which is the better Music video!? The top 2 of my favorites is Remind Me and a l…"
46,Heat Waves,Glass Animals,"#nowplaying #GlassAnimals ~ Glass Animals | Heat Waves ||| Radio TEDDY - In der #Oberpfalz #DAB auf Kanal 12D 愛知北FM”THE FACE”毎週月〜木9:00-11:00生放送
月https://t.co/xXmFyiinOR
YouTube https://t.co/tUZtAD8rZx

只今のオンエア楽曲は
Glass Animals / Heat Waves

ツイッターからは　#UNザフェイス　を付けて
#愛知北FM #犬山城下町 #ラジオ #un842
#ビルボード#GlassAnimals #HeatWaves *Heat Waves by Glass Animals remix just dropped*

🎶Sometimes all I think about is doom

Wildfires I am breathing in fumes

Heat waves will wipe us all out 

Climate change can’t be reversed now🎶 https://t.co/hwKmZ2bkKl Nu op ZTACK: Heat Waves van Glass Animals! 🎶
📻Tune in op https://t.co/XYjsqE6MaU! Heat waves (glass animals), yellow light (omam), human (omam), river (aurora), the seed (aurora), oceans (seafret), birds (imagine dragons), message man (21 pilots), polaroid (imagine dragons), satellite (starset), mrs potato head (melanie martinez) @chimerasecrets hmm
heat waves by glass animals? alexa, play heat waves by glass animals https://t.co/NQceBmAkq1 [transcript: “Heat Waves” by Glass Animals plays. /end transcript] https://t.co/gm9S4hBaS4 glass animals releasing a slowed version of heat waves was so smart tbh. i go on youtube to listen to slowed versions of songs all the time but theirs i can play on spotify 🔊 In der #ARDPopNacht läuft...

Glass Animals:
  🎵 Heat waves

🕊️ #NowPlaying #GlassAnimals 

https://t.co/vVGWDlU2jJ"
47,Way Less Sad,AJR,"#NowPlaying https://t.co/g43lY5g7UZ: Way Less Sad (PO Intro Edit) - Prerformed By; AJR - #Listen #Radio Tune In https://t.co/oDqrEZNRAj or https://t.co/aKdcd2qfjU #PeaceNotWar https://t.co/cE6M1RJVBN 다들 AJR 노래들어주세요,,,특히 bang!,,way less sad,,,weak,,,,아몰라 다들어주세요ㅠㅠ WAY LESS SAD - AJR Now Playing: AJR - Way Less Sad (Click Here To Listen) https://t.co/kcNQSyXRrW @ice_cold_sea In karaoke, I'd definitely sing any song of AJR! I really love their songs and my favorite song is Way Less Sad from them 🌟

The best singer— Sadly the truth is Zuro. He might be chaotic but being part of a music college and having singing classes for your whole life does magic WAY LESS SAD - AJR Now Playing: AJR - Way Less Sad (Click Here To Listen) https://t.co/kcNQSyXRrW WAY LESS SAD - AJR 3. way less sad by ajr WAY LESS SAD - AJR"
48,THATS WHAT I WANT,Lil Nas X,"02:27: ""Thats What I Want"" von Lil Nas X #nowplaying #LilNasX ~ Lil Nas X | Thats What I Want ||| BB RADIO - In #Wittenberge #Brandenburg #GER auf 104.3 🔊 In der #ARDPopNacht läuft...

Lil Nas X:
  🎵 Thats what I want

🕊️ #NowPlaying #LilNasX 

https://t.co/tBXaLlqBsM THATS WHAT I WANT by LIL NAS X now playing on BigmanRadio #NowPlaying  #StreamingLive  https://t.co/2lOXdlC0Gg oe3orf Weekly 31x: Lil Nas X (Thats What I Want) Now playing on OnlyTunes: THATS WHAT I WANT by Lil Nas X! Tune in now: https://t.co/QSc4YvXbpO Pool Party CLEAN 🥇:

THATS WHAT I WANT | Lil Nas X

#lilnasx 

https://t.co/f2QRKo5GtG GUYS!!!! So I put ‘lil nas x’ as my name in Starbucks and the barista yelled ‘SOMEONE WITH TASTE?!?’ And I said ‘YESS! THATS ME!’ And then everyone around me started to sing ""that's what i want"". Omfg im crying!!! POPな曲

・Kygo - Dancing Feet (Official Video) ft. DNCE　⭐︎2022　
 
・Lil Nas X - THATS WHAT I WANT (Official Video)⭐︎2021 Lil Nas X - THATS WHAT I WANT"
49,Dandelions,Ruth B.,
50,WHERE WE ARE,The Lumineers,WHERE WE ARE - THE LUMINEERS 12:25pm WHERE WE ARE by The Lumineers from BRIGHTSIDE https://t.co/gRwk21eaEG Where We Are | The Lumineers 11:45 The Lumineers - Where We Are 📹 jungleindierock: The Lumineers - Full Performance (Live on KEXP at Home) American indie folk band The Lumineers perform a five song set for Full Performance (Live on KEXP at Home). Setlist Brightside A.M. Radio Where We Are Just Like... https://t.co/MZL9yQpuJz 4:33am WHERE WE ARE by The Lumineers from BRIGHTSIDE https://t.co/OnP9lWkZ2Z WHERE WE ARE - THE LUMINEERS 3:11 The Lumineers - Where We Are WHERE WE ARE - THE LUMINEERS Playing Where We Are by The Lumineers
51,Dancing Feet (feat. DNCE),Kygo,"Now playing: Dancing Feet (Radio Edit) by Kygo feat. DNCE #listen at https://t.co/ojQrJuJjJ8 https://t.co/S5fpLzmruP Kygo - Dancing Feet (feat. DNCE) https://t.co/iJusf8B5ax #BBCRadio2 🔊 #NowPlaying on #BBCRadio2's #OJBorg 🕊️

Kygo:
  🎵 Dancing Feet (feat. DNCE)

#Kygo 

https://t.co/JnFGsNHAn7 🔊 In der #ARDPopNacht läuft...

Kygo feat. DNCE:
  🎵 Dancing feet

🕊️ #NowPlaying #Kygo #DNCE 

https://t.co/P9AhyAkj4t The best Disco hiphop reggaeton electro music np Dancing Feet by Kygo feat. DNCE Dancing Feet by Kygo feat. DNCE on https://t.co/bpXp7hVmDG #NowPlaying
Kygo;DNCE - Dancing Feet (feat. DNCE)
ANDROID https://t.co/q1BZxYlZ3U
IOS  https://t.co/isHS2fnQ3P
Peça sua música aqui https://t.co/NrJyF6KvpH
https://t.co/hKZF1ul8XI rock pop dance classic hits now: Dancing Feet - KYGO Feat. DNCE on https://t.co/euPh0ZZYk8 https://t.co/jTtKKQdSGI #nowplaying KYGO - Dancing Feet (FEAT. DNCE) [clean] Kygo - Dancing Feet (feat. DNCE) 🔊 #NowPlaying on #BBCRadio2's #RobBeckett 🕊️

Kygo:
  🎵 Dancing Feet (feat. DNCE)

#Kygo 

https://t.co/JnFGsNHAn7"
52,Stay Next To Me (with Chelsea Cutler),Quinn XCII,
53,Cold Heart - PNAU Remix,Elton John,"#TocandoAgora #NowPlaying on #RadioGaLeraS:  Elton John - Cold Heart - Claptone Remix #ListenAt https://t.co/VIJiiTPNWa Elton John &amp; Dua Lipa - Cold Heart (PS1 Remix)  on Rich Radio. The Soundtrack To Your Day! #NowPlaying Elton John, Dua Lipa - Cold Heart (Dj Dark &amp; Mose N Remix) https://t.co/EA48RPiMGO przez @YouTube Cold Heart (Claptone Remix) Dua Lipa - Elton John Dua Lipa - Elton John - Cold Heart (Claptone Remix) # LATINO / ELECTRO https://t.co/r6ykcyDJ7y Unstoppable da Sia e Cold Heart (remix) do Elton John com a Dua Lipa favor não tocar essas músicas em um raio de 50m perto de minha pessoa Do you like the best music? Listen now Cold Heart (Lavrushkin &amp; Tomboo Remix) - Dua Lipa;Elton John on https://t.co/b97MPDulOx https://t.co/jVTavSmufU Cold Heart (Claptone Remix) Dua Lipa - Elton John Dua Lipa - Elton John - Cold Heart (Claptone Remix) # LATINO / ELECTRO https://t.co/fVAtHwYl3K Cold Heart (Claptone Remix) Dua Lipa - Elton John Dua Lipa - Elton John - Cold Heart (Claptone Remix) # LATINO / ELECTRO https://t.co/gNczHFhUZ3 Cold Heart (Claptone Remix) Dua Lipa - Elton John Dua Lipa - Elton John - Cold Heart (Claptone Remix) # LATINO / ELECTRO https://t.co/hLoSzDaj2w Cold Heart x Elton John, Dua Lipa (Claptone Remix / Visualiser) 

acabo de escuchar esta en un mixtape y totalmente para la pista de baile con ese sonido de Claptone 

https://t.co/OPWZF6YcAz"
54,Bam Bam (feat. Ed Sheeran),Camila Cabello,"[2022/04/11 10:35]
Bam Bam feat.Ed Sheeran / Camila Cabello
#fmcocolo765

●Radikoタイムフリーで聴く↓
https://t.co/bGFYgJuzng

●Spotifyで試聴↓https://t.co/9VBBFuW3b4 RT @WWCamilaCabello: iTunes US:

#3. (+1) ""Bam Bam"" by @Camila_Cabello (feat. @edsheeran) **peak #1**
https://t.co/siDRFEjr71 📈 | Bam Bam (feat. Ed Sheeran) by Camila Cabello spends another week at #1 due to album impact, becoming the second song in history to spend 4 or more weeks at #1. 

This was last achieved by Message In A Bottle (Taylor's Version)
#FictionalCharts https://t.co/htBftjujT9 03:21: ""Bam Bam"" von Camila Cabello feat. Ed Sheeran I voted for Camila Cabello - Bam Bam (feat. Ed Sheeran) on KRAZE 101-3! Vote at https://t.co/r9KappwLi6 Complete the kraze 101.3 listener opinion survey for your chance to win $500! RT @CamilaCharts97: iTunes US:

#3. ""Bam Bam"" — @Camila_Cabello &amp; @edsheeran (+1)
https://t.co/IZw8yJp8oT I voted Camila Cabello feat Ed Sheeran - BAM BAM @Live999radio! Vote &amp; let's get it played! https://t.co/jDAlHa0PMB 「BAM BAM」 CAMILA CABELLO FEAT.ED SHEERAN 10:07 RT @todayccabello: Apple Music UK 🇬🇧:

#7. “Bam Bam” — @Camila_Cabello (+1) *New Peak* https://t.co/tP7biUc9Hc [09:41] CAMILA CABELLO FEAT.ED SHEERAN - BAM BAM

[radiko]
https://t.co/SjPUJ5hNRh"
55,Anyone,Justin Bieber,"This is already fascinating to watch. @elonmusk owns more shares of @Twitter than anyone else and yet is asking more critical questions of it than probably anyone at Twitter ever has. https://t.co/v1BFvZh1Vd Does anyone want to buy a Justin Bieber Floor ticket below face value? I can’t go anymore and I can’t find anyone to sell it too … it’s for Mon April 11(Tomorrow)at the Amway Center - Orlando, FL 😭#JustinBieberMiamiFL
#JustinBieberTickets #JusticeWorldTour Does anyone want to buy a Justin Bieber
ticket below face value? I can't go anymore
and I can't find anyone to sell it too ... it's for
Thur April 21 at the Gainbridge Fieldhouse
Indianapolis, IN #JustinBieberlndianiapolis
#JustinBieberTickets #JusticeWorldTour Hi buddies me and my hommie got 2 Floor tickets to Justin Bieber show at FTX ARENA MIAMI unfortunately we can’t make it there on Wednesday if anyone is interested in buying please send a dm #JustinBieber @justinbieber #JusticeWorldTour #JustinBieberTour se o justin bieber colocar foto da Hailey em anyone no rock in rio irei chorar mto sim. Anyone ready to buy my 3 remaining  Floor 5 tickets to Justin bieber tour, tomorrow show
Miami,FL RT @nahfungiblebone: THE MYSTERY OF JUSTIN BIEBER. 
If you follow us, you’d know that you can personalise a bone by changing its name. One… No quiero morirme sin que me dediquen “Anyone” de Justin Bieber. 🥺❤️ I’ve got Justin Bieber floor tickets for sale on Mon Apr 11 at Amway Center in Orlando, FL. Anyone interested should hmu, willing to sell for face value RT @fontesbieber: Quase afunda o palco..  Justin Bieber performando ""Anyone"" na #JusticeTourTampa
09.04.22  

📽: @thesdrewhouse https://t.c…"
56,Meet Me At Our Spot,THE ANXIETY,"#NowPlaying THE ANXIETY;WILLOW;Tyler Cole - Meet Me At Our Spot Now Playing The Anxiety - Meet Me At Our Spot -escuchala en https://t.co/Om4r4u1aQu WILLOW, THE ANXIETY, Tyler Cole - Meet Me At Our Spot (Live Performance) https://t.co/6gO9goOiTc via @YouTube
Didn’t Realize Willow Smith had such an amazing voice TMN Top 100
Highlights
Week Ending: 4/9/2022

No. 28 (-16)

Peak Position: #16

The Anxiety, Willow Smith &amp; Tyler Cole - Meet Me At Our Spot

https://t.co/nFPKSjVR2d Now playing on OnlyTunes: Meet Me At Our Spot by THE ANXIETY/WILLOW/Tyler Cole! Tune in now: https://t.co/QSc4YvXbpO ♫Meet Me At Our Spot by The Anxiety, Willow, Tyler Cole, from #SoundHound with LiveLyrics® https://t.co/2L83Kl8mix Now Playing THE ANXIETY, WILLOW, Tyler Cole - Meet Me At Our Spot #theanxiety, OfficialWillow, #tylercole WILLOW, THE ANXIETY, Tyler Cole - Meet Me At Our Spot (Live Performance)  
https://t.co/xJdNI4qwdp THE ANXIETY WILLOW Tyler Cole  -  Meet Me At Our Spot RT @tehecrops: gracie + louis tomlinson / meet me at our spot by the anxiety https://t.co/s1QQajYjOy"
57,Clarity,Vance Joy,"Vance Joy - Clarity Vance Joy - Clarity 
Escuchá https://t.co/4oM6IX6qPj 
Una radio como todas, pero distinta a las demás... VANCE JOY - Clarity Vance Joy – Clarity İngilizce Şarkı Sözleri Türkçe Anlamları https://t.co/eVeianFQmP Vance Joy - Clarity (Official Music Video) https://t.co/vA1Jgr1oh6 via @YouTube Clarity van Vance Joy is WEEFF Top Favoriet https://t.co/6vMyJikYdZ RT @circusaintlove: i think clarity is my new fav vance joy song RT @RollingStone: Vance Joy has shared a new single, “Clarity,” set to appear on the singer-songwriter’s upcoming album, 'In Our Own Sweet… VANCE JOY - Clarity i think clarity is my new fav vance joy song"
58,Mariposa,Peach Tree Rascals,"yo sé q a jungkook le gusta mariposa de peach tree rascals RT @atsumuhoney: // #kagehina fluff

lazy sunday in kagehina's flat, 5:30 pm, cups of tea on the table, 'mariposa' by peach tree rascals pl… RT @atsumuhoney: // #kagehina fluff

lazy sunday in kagehina's flat, 5:30 pm, cups of tea on the table, 'mariposa' by peach tree rascals pl… // #kagehina fluff

lazy sunday in kagehina's flat, 5:30 pm, cups of tea on the table, 'mariposa' by peach tree rascals playing on the background, shoyo and tobio laying on the sofa laughing. they can't ask for more. @baetheby mariposa acoustic -peach tree rascals @ohciandrei Peach Tree Rascals - Mariposa @binguiu Mariposa by Peach Tree Rascals #nowplaying PEACH TREE RASCALS - Mariposa 4/9: mariposa- peach tree rascals https://t.co/i56ZpGm4zu Now playing on OnlyTunes: Mariposa by Peach Tree Rascals! Tune in now: https://t.co/QSc4YvXbpO"
59,You (with Marshmello & Vance Joy),benny blanco,
60,Be Like That - feat. Swae Lee & Khalid,Kane Brown,
